word,hint,meaning,difficulty,is_answer,weight,valid_from,length
ALERTS,Behavior,Warns of something unusual,Hard,TRUE,1,2025-11-03,6
TIMID,Temperament,Lacking in courage,Medium,TRUE,1,2025-11-03,5
CURIOUS,Temperament,Eager to learn or know,Expert,TRUE,1,2025-11-03,7
FOCUS,Training,Concentrate attention as a cue,Medium,TRUE,1,2025-11-03,5
FOCUSED,Training,Kept attention on handler,Expert,TRUE,1,2025-11-03,7
DRIVEN,Temperament,Highly motivated,Hard,TRUE,1,2025-11-03,6
LAZY,Temperament,Unwilling to work or use energy,Easy,TRUE,1,2025-11-03,4
POLITE,Behavior,Showing good manners,Hard,TRUE,1,2025-11-03,6
QUIETER,Behavior,Less loud; softer sounds,Expert,TRUE,1,2025-11-03,7
PLAYED,Behavior,Engaged in play,Hard,TRUE,1,2025-11-03,6
PLAYS,Behavior,Engages in play,Medium,TRUE,1,2025-11-03,5
RESTED,Behavior,Took a rest,Hard,TRUE,1,2025-11-03,6
JUMPS,Behavior,Leaps into the air,Medium,TRUE,1,2025-11-03,5
HANDLER,Role,Person who manages and trains a dog,Expert,TRUE,1,2025-11-03,7
CLICKS,Training,Short sounds used as markers,Hard,TRUE,1,2025-11-03,6
CLICKED,Training,Used a clicker to mark behavior,Expert,TRUE,1,2025-11-03,7
TARGET,Training,Object/spot for the dog to touch,Hard,TRUE,1,2025-11-03,6
TRACKER,Training,One who tracks by scent,Expert,TRUE,1,2025-11-03,7
TRACKED,Training,Followed a trail or scent,Expert,TRUE,1,2025-11-03,7
SEEKER,Training,One who looks/searches,Hard,TRUE,1,2025-11-03,6
SEEKERS,Training,People/animals that search,Expert,TRUE,1,2025-11-03,7
SEARCH,Training,Look carefully to find,Hard,TRUE,1,2025-11-03,6
HEELED,Training,Walked close at handler’s side,Hard,TRUE,1,2025-11-03,6
HEELER,Training/Breed,Dog that heels; also a cattle dog type,Hard,TRUE,1,2025-11-03,6
HEELERS,Training/Breed,Plural of heeler,Expert,TRUE,1,2025-11-03,7
MARKER,Training,Signal used to mark behavior,Hard,TRUE,1,2025-11-03,6
HALTER,Equipment,Headcollar used for control,Hard,TRUE,1,2025-11-03,6
HALTERS,Equipment,Multiple headcollars,Expert,TRUE,1,2025-11-03,7
BLANKET,Equipment,Covering for warmth,Expert,TRUE,1,2025-11-03,7
CLIPPER,Equipment,Grooming tool that clips fur,Expert,TRUE,1,2025-11-03,7
BRUSHES,Equipment,Multiple grooming brushes,Expert,TRUE,1,2025-11-03,7
BRUSHED,Equipment,Groomed using a brush,Expert,TRUE,1,2025-11-03,7
COATING,Equipment,Layer of protective or fur covering,Expert,TRUE,1,2025-11-03,7
BATHTUB,Equipment,Tub used for bathing a dog,Expert,TRUE,1,2025-11-03,7
FRISBEE,Toy,Flying disc used for fetch,Expert,TRUE,1,2025-11-03,7
BALL,Toy,Spherical toy for fetch,Easy,TRUE,1,2025-11-03,4
BALLS,Toy,Plural of ball,Medium,TRUE,1,2025-11-03,5
ROPE,Toy,Cord used for tug-of-war,Easy,TRUE,1,2025-11-03,4
ROPES,Toy,Plural of rope,Medium,TRUE,1,2025-11-03,5
RESCUED,Rescue,Saved and rehomed from shelter,Expert,TRUE,1,2025-11-03,7
BOARDER,Boarding,Dog staying temporarily for care,Expert,TRUE,1,2025-11-03,7
ADOPTEE,Rescue,One who is adopted,Expert,TRUE,1,2025-11-03,7
FEEDERS,Care,Devices/people that feed,Expert,TRUE,1,2025-11-03,7
WATERS,Care,Gives water to (verb),Hard,TRUE,1,2025-11-03,6
BATHERS,Care,People who bathe dogs,Expert,TRUE,1,2025-11-03,7
SALUKI,Breed,"Slim, fast sighthound from the Middle East",Hard,TRUE,1,2025-11-03,6
SALUKIS,Breed,Plural of Saluki,Expert,TRUE,1,2025-11-03,7
MUDI,Breed,Hungarian herding breed,Easy,TRUE,1,2025-11-03,4
MUDIS,Breed,Plural of Mudi,Medium,TRUE,1,2025-11-03,5
KELPIE,Breed,Australian herding dog,Hard,TRUE,1,2025-11-03,6
KELPIES,Breed,Plural of Kelpie,Expert,TRUE,1,2025-11-03,7
SPITZES,Breed type,Plural of spitz-type dogs,Expert,TRUE,1,2025-11-03,7
SHARPEI,Breed,Wrinkle-skinned Chinese breed,Expert,TRUE,1,2025-11-03,7
VESTS,Equipment,Protective/service vests for dogs,Medium,TRUE,1,2025-11-03,5
ECOLLAR,Health,Protective cone collar used after surgery,Expert,TRUE,1,2025-11-03,7
CONE,Equipment,Protective cone to prevent licking,Easy,TRUE,1,2025-11-03,4
CONES,Equipment,Plural of cone,Medium,TRUE,1,2025-11-03,5
BOWLS,Feeding,Dishes used for food or water,Medium,TRUE,1,2025-11-03,5
BOTTLE,Care,Container for feeding puppies,Hard,TRUE,1,2025-11-03,6
BOTTLES,Care,Multiple feeding containers,Expert,TRUE,1,2025-11-03,7
TEETER,Agility,Seesaw obstacle in agility,Hard,TRUE,1,2025-11-03,6
TEETERS,Agility,Plural/verb form of teeter,Expert,TRUE,1,2025-11-03,7
SLALOM,Agility,Weaving movement between poles,Hard,TRUE,1,2025-11-03,6
CHUTES,Agility,Fabric tunnel obstacle,Hard,TRUE,1,2025-11-03,6
JUMPERS,Agility,Dogs competing in jumpers class,Expert,TRUE,1,2025-11-03,7
NIPPED,Behavior,Bit lightly or sharply,Hard,TRUE,1,2025-11-03,6
NIPPER,Behavior,Dog that tends to nip,Hard,TRUE,1,2025-11-03,6
NIPPERS,Behavior,Dogs that tend to nip,Expert,TRUE,1,2025-11-03,7
MOUNTS,Behavior,Climbs on; mating behavior,Hard,TRUE,1,2025-11-03,6
MOUNTED,Behavior,Climbed on; mating behavior,Expert,TRUE,1,2025-11-03,7
SEIZURE,Health,Sudden neurological event,Expert,TRUE,1,2025-11-03,7
VIRUS,Health,Infectious agent causing disease,Medium,TRUE,1,2025-11-03,5
VIRUSES,Health,Plural of virus,Expert,TRUE,1,2025-11-03,7
FUNGAL,Health,Related to fungus infections,Hard,TRUE,1,2025-11-03,6
FUNGUS,Health,Fungal organism,Hard,TRUE,1,2025-11-03,6
YEASTS,Health,Fungi that can cause infections,Hard,TRUE,1,2025-11-03,6
WHISKER,Anatomy,Long tactile hair on muzzle/face,Expert,TRUE,1,2025-11-03,7
EYEBALL,Anatomy,The eyeball itself,Expert,TRUE,1,2025-11-03,7
EARDRUM,Anatomy,Tympanic membrane in the ear,Expert,TRUE,1,2025-11-03,7
NIPPLES,Anatomy,Mammary papillae on the abdomen,Expert,TRUE,1,2025-11-03,7
NURSING,Care,Feeding milk from the mother,Expert,TRUE,1,2025-11-03,7
